Voltage U1	Current IA	Temperature Tact	Voltage U2	Voltage UH
U1/V	IA/nA	Tact/°C	U2/V	UH/V

6.73	0.00	194	2.0	6.3
6.76	0.00	195	2.0	6.3
6.78	0.00	195	2.0	6.3
6.81	0.00	195	2.0	6.3
6.83	0.00	194	2.0	6.3
6.86	0.00	194	2.0	6.3
6.88	0.00	194	2.0	6.3
6.91	0.00	195	2.0	6.3
6.93	0.01	194	2.0	6.3
6.95	0.01	195	2.0	6.3
6.98	0.01	195	2.0	6.3
7.00	0.01	195	2.0	6.3
7.03	0.01	194	2.0	6.3
7.05	0.01	194	2.0	6.3
7.08	0.01	194	2.0	6.3
7.10	0.01	194	2.0	6.3
7.13	0.00	194	2.0	6.3
7.15	0.00	194	2.0	6.3
7.17	0.00	194	2.0	6.3
7.20	0.00	195	2.0	6.3
7.22	0.00	195	2.0	6.3
7.25	0.00	195	2.0	6.3
7.27	0.00	195	2.0	6.3
7.30	0.00	195	2.0	6.3
7.32	0.00	195	2.0	6.3
7.35	0.00	195	2.0	6.3
7.37	0.00	195	2.0	6.3
7.39	0.00	195	2.0	6.3
7.42	0.00	195	2.0	6.3
7.44	0.00	195	2.0	6.3
7.47	0.00	195	2.0	6.3
7.49	0.02	195	2.0	6.3
7.52	0.02	195	2.0	6.3
7.54	0.02	195	2.0	6.3
7.57	0.02	195	2.0	6.3
7.59	0.02	195	2.0	6.3
7.61	0.00	195	2.0	6.3
7.64	0.00	195	2.0	6.3
7.66	0.00	195	2.0	6.3
7.69	0.00	195	2.0	6.3
7.71	0.00	195	2.0	6.3
7.74	0.00	195	2.0	6.3
7.76	0.00	195	2.0	6.3
7.78	0.00	195	2.0	6.3
7.81	0.00	195	2.0	6.3
7.83	0.00	195	2.0	6.3
7.86	0.00	195	2.0	6.3
7.88	0.00	195	2.0	6.3
7.91	0.00	195	2.0	6.3
7.93	0.00	195	2.0	6.3
7.96	0.00	195	2.0	6.3
7.98	0.03	195	2.0	6.3
8.00	0.03	195	2.0	6.3
8.03	0.03	195	2.0	6.3
8.05	0.03	195	2.0	6.3
8.08	0.03	195	2.0	6.3
8.10	0.00	195	2.0	6.3
8.13	0.00	195	2.0	6.3
8.15	0.00	195	2.0	6.3
8.18	0.00	195	2.0	6.3
8.20	0.00	195	2.0	6.3
8.22	0.00	195	2.0	6.3
8.25	0.00	195	2.0	6.3
8.27	0.00	195	2.0	6.3
8.30	0.00	195	2.0	6.3
8.32	0.00	195	2.0	6.3
8.35	0.01	195	2.0	6.3
8.37	0.01	195	2.0	6.3
8.40	0.01	195	2.0	6.3
8.42	0.01	195	2.0	6.3
8.44	0.01	195	2.0	6.3
8.47	0.02	195	2.0	6.3
8.49	0.02	195	2.0	6.3
8.52	0.02	195	2.0	6.3
8.54	0.02	195	2.0	6.3
8.57	0.02	195	2.0	6.3
8.59	0.00	195	2.0	6.3
8.62	0.00	195	2.0	6.3
8.64	0.00	195	2.0	6.3
8.66	0.00	194	2.0	6.3
8.69	0.00	195	2.0	6.3
8.71	0.00	195	2.0	6.3
8.74	0.00	195	2.0	6.3
8.76	0.00	194	2.0	6.3
8.79	0.00	194	2.0	6.3
8.81	0.00	195	2.0	6.3
8.84	0.01	194	2.0	6.3
8.86	0.01	194	2.0	6.3
8.88	0.01	195	2.0	6.3
8.91	0.02	194	2.0	6.3
8.93	0.02	194	2.0	6.3
8.96	0.03	195	2.0	6.3
8.98	0.03	194	2.0	6.3
9.01	0.03	194	2.0	6.3
9.03	0.03	195	2.0	6.3
9.05	0.03	194	2.0	6.3
9.08	0.00	195	2.0	6.3
9.10	0.00	195	2.0	6.3
9.13	0.00	195	2.0	6.3
9.15	0.00	195	2.0	6.3
9.18	0.00	195	2.0	6.3
9.20	0.00	195	2.0	6.3
9.23	0.00	195	2.0	6.3
9.25	0.00	195	2.0	6.3
9.27	0.00	195	2.0	6.3
9.30	0.00	195	2.0	6.3
9.32	0.00	195	2.0	6.3
9.35	0.00	195	2.0	6.3
9.37	0.00	195	2.0	6.3
9.40	0.00	195	2.0	6.3
9.42	0.01	195	2.0	6.3
9.45	0.03	195	2.0	6.3
9.47	0.03	195	2.0	6.3
9.49	0.03	195	2.0	6.3
9.52	0.03	195	2.0	6.3
9.54	0.02	195	2.0	6.3
9.57	0.00	195	2.0	6.3
9.59	0.00	195	2.0	6.3
9.62	0.00	195	2.0	6.3
9.64	0.00	195	2.0	6.3
9.67	0.00	195	2.0	6.3
9.69	0.00	195	2.0	6.3
9.71	0.00	195	2.0	6.3
9.74	0.00	195	2.0	6.3
9.76	0.00	195	2.0	6.3
9.79	0.00	195	2.0	6.3
9.81	0.01	195	2.0	6.3
9.84	0.01	195	2.0	6.3
9.86	0.01	195	2.0	6.3
9.89	0.01	195	2.0	6.3
9.91	0.01	195	2.0	6.3
9.93	0.03	195	2.0	6.3
9.96	0.03	195	2.0	6.3
9.98	0.03	195	2.0	6.3
10.01	0.02	195	2.0	6.3
10.03	0.02	195	2.0	6.3
10.06	0.00	195	2.0	6.3
10.08	0.00	195	2.0	6.3
10.10	0.00	195	2.0	6.3
10.13	0.00	195	2.0	6.3
10.15	0.00	195	2.0	6.3
10.18	0.00	195	2.0	6.3
10.20	0.03	195	2.0	6.3
10.23	0.03	195	2.0	6.3
10.25	0.03	195	2.0	6.3
10.28	0.04	195	2.0	6.3
10.30	0.07	195	2.0	6.3
